,LBI,FLA,PSF,FSF,ZDF1
0,1.2093589743589745,117.34666666666666,42.4,24.2,47.1
1,1.23,122.0,0.0,40.0,40.0
2,1.24,121.0,16.0,20.7,29.7
3,1.07,114.0,44.0,2.6,26.3
4,1.08,105.0,32.6,5.8,10.7
5,1.39,126.0,14.0,0.0,50.0
6,1.31,119.0,15.7,15.7,30.4
7,1.27,116.0,16.8,23.0,35.2
8,1.11,113.0,15.8,15.8,15.0
9,1.32,121.0,22.0,2.0,18.0
10,1.16,131.0,7.5,14.9,6.0
11,1.23,121.0,27.9,6.7,31.7
12,1.24,113.0,5.3,21.1,60.0
13,1.2,108.0,37.4,9.9,39.9
14,1.33,120.0,13.5,6.9,38.3
15,1.11,123.0,67.2,2.5,5.9
16,1.14,116.0,5.3,55.3,63.2
17,1.16,116.0,3.5,23.7,64.8
18,1.22,116.0,6.0,39.7,50.2
19,1.23,116.0,8.0,24.0,60.0
20,1.25,118.0,7.5,37.7,43.9
21,1.19,115.0,0.0,33.3,58.7
22,1.11,112.0,2.5,22.7,92.3
23,1.22,117.34666666666666,46.3,0.0,63.6
24,1.07,117.0,0.0,28.5,61.9
25,1.31,114.0,14.0,14.0,57.0
26,1.24,125.0,45.5,9.0,18.2
27,1.17,125.0,18.9,15.8,21.1
28,1.11,124.0,10.7,25.0,25.0
29,1.41,118.0,25.5,15.5,26.8
30,1.26,118.0,16.3,6.7,28.9
31,1.24,111.0,5.6,21.5,72.2
32,1.21,116.0,1.2,32.5,83.3
33,1.21,110.0,1.6,35.5,94.1
34,1.28,110.0,0.0,15.0,40.0
35,1.17,111.0,1.2,50.0,75.6
36,1.31,126.0,2.1,18.6,34.0
37,1.2,121.0,0.0,0.0,25.1
38,1.02,123.0,37.5,18.8,18.8
39,1.04,120.0,28.6,12.7,15.9
40,1.15,124.0,16.3,20.2,26.2
41,1.08,128.0,35.7,0.0,14.3
42,1.16,117.0,15.0,19.6,19.6
43,1.2,122.0,12.7,20.1,23.6
44,1.18,108.0,20.6,6.9,61.8
45,1.12,117.0,6.9,22.5,63.7
46,1.3,112.0,3.8,25.4,68.9
47,1.12,115.0,5.8,13.9,80.6
48,1.29,121.0,22.2,11.1,30.6
49,1.26,121.0,31.7,20.2,24.0
50,1.03,115.0,2.1,17.2,78.0
51,1.15,112.0,3.8,26.2,76.3
52,1.14,115.0,0.8,27.1,77.8
53,1.18,112.0,2.4,22.0,78.0
54,1.44,116.0,7.7,29.2,59.3
55,1.47,118.0,10.1,27.8,53.3
56,1.45,117.0,5.2,26.7,56.5
57,1.06,125.0,59.2,2.9,9.7
58,1.24,117.34666666666666,0.0,0.0,66.7
59,1.17,114.0,4.1,21.5,73.9
60,1.14,112.0,4.7,17.7,76.2
61,1.22,113.0,5.7,32.2,60.8
62,1.38,115.0,14.4,19.2,59.5
63,1.34,112.0,23.1,19.2,55.2
64,1.22,117.34666666666666,56.9,13.7,67.8
65,1.39,107.0,10.8,27.0,76.2
66,1.04,116.0,29.2,2.5,19.2
67,1.17,107.0,41.1,0.5,16.8
68,1.69,123.0,0.0,0.0,40.0
69,1.14,118.0,11.4,12.1,52.1
70,1.06,116.0,16.7,12.5,50.0
71,1.16,127.0,36.4,10.2,9.4
72,1.1,107.0,23.7,10.4,51.8
73,1.09,119.0,8.5,7.0,23.0
74,1.04,118.0,33.3,5.1,28.2
75,1.14,121.0,15.0,10.0,5.0
76,1.24,120.0,29.1,13.8,34.4
77,1.15,125.0,9.5,6.4,13.0
78,1.37,125.0,12.6,21.5,28.6
